code,latitude,longitude,temperature_moyenne_annuelle,temperature_max_ete,nuits_tropicales,jours_sup_35C
01,45.6827,5.5719,0.3254498633526259,0.28310895820994914,0.8787065403749402,0.8924272116461366
02,48.8898,3.4814,0.33517255018293274,0.37096237338950483,0.9678439824793159,0.9454062788550324
03,46.0098,3.6278,0.29831750773778415,0.27943857619471885,0.9192550940484681,0.8117140195621798
06,43.545,6.9355,0.35096589264206024,0.3646431731635029,0.7716732186341138,0.9719403931515536
04,43.7327,5.759,0.41228334110268244,0.30549414406394054,0.9289488582751463,0.8768796992481204
08,49.3075,4.4801,0.36009543768321184,0.39407760817091136,0.9669606965810144,0.9757357102433503
07,44.3481,4.0911,0.3070615679188802,0.2615918218327857,0.8296655458148193,0.8075657894736842
09,42.4897,1.5116,0.37673722232886026,0.383003820556058,0.9329396223482788,0.8520123839009288
10,47.9485,3.9965,0.3135083236843027,0.31457879472406997,0.9453416854874221,0.882427843803056
11,42.7084,2.1905,0.17809932231800063,0.21107843941327187,0.6550384117171769,0.76756515074093
12,43.7129,2.981,0.29563312348242626,0.26993969919695815,0.8656979304271246,0.7751461988304094
67,48.1323,7.5522,0.3322996802795081,0.3243410423302405,0.8995890209892852,0.9605994152046784
13,43.167,5.4305,0.11070466231583094,0.09173571681361457,0.4910006605019815,0.6626233552631579
14,48.7771,-0.9827,0.3057727677247107,0.4238359366078956,0.9828269484808454,0.9854570637119113
15,44.6498,2.1854,0.40304145572611894,0.37961115651186284,0.9535180803344608,0.9376807403123193
16,45.2717,-0.059,0.21286742419356908,0.2335534040208811,0.9001349721440468,0.8637013729977118
17,45.1233,-0.256,0.18909454313795085,0.24963467966457875,0.891937544665093,0.895923209663503
18,46.449,2.1803,0.2813449401078161,0.28301314652187826,0.9133717487359359,0.8318965517241379
19,44.9363,1.7794,0.30813257004361344,0.3133900237781648,0.9039742544759549,0.8612821948488243
2A,41.3373,9.1495,0.12668988577225485,0.19266316009034007,0.44589591793466743,0.8715988466536713
23,45.7284,1.8741,0.3244141204390387,0.3516389395663614,0.9239848371719027,0.9092534324942791
21,46.9285,4.7007,0.33174045055577844,0.3132838996282629,0.919613023544953,0.8923664860681115
22,48.0698,-2.6578,0.29221021964001886,0.4196815295946894,0.9883687212037245,0.9904257595207531
79,45.9911,-0.0904,0.23800059329575776,0.2627194602163443,0.9263815499779833,0.8922697368421053
24,44.6402,0.8752,0.19991100563630956,0.21610035288023097,0.8352139292528988,0.7738943713450293
25,46.6013,6.1495,0.4103723575767737,0.3902862825615305,0.9585893975073229,0.9590245995423341
26,44.1757,5.3857,0.30324509513090303,0.22865815300869918,0.8608931022871499,0.8065660474716202
91,48.3197,2.0669,0.2886462968456441,0.3118773946360153,0.9265962131219727,0.8758771929824561
27,48.7424,0.8687,0.31648459365689435,0.38126268191205603,0.9683389811038998,0.9439359267734553
28,48.0268,1.2104,0.309027775609299,0.32732357135742,0.96105124104846,0.8846952908587258
29,47.7377,-3.5888,0.26759509846427665,0.4390609298378306,0.9853571791484607,0.9836032388663968
30,43.4836,4.1634,0.15148355497768815,0.11054587633979299,0.5839399645858513,0.525895856662934
32,43.3381,0.4159,0.18333885912715708,0.20051176081382097,0.8322713497552258,0.664280185758514
33,44.258,-0.3164,0.17045284241824593,0.2141996996023426,0.8471758767877461,0.8454898083358685
68,47.428,7.1644,0.3570722708395134,0.3391973064672483,0.9137219286657859,0.9592927631578947
2B,41.9028,9.3118,0.15067257234628,0.22677683915739588,0.45975493098893094,0.9519812462189957
31,42.6932,0.5346,0.2243068708212581,0.23069643738526163,0.8047581546590793,0.6432186234817814
43,44.7841,3.8016,0.4184884827424132,0.3563578092036755,0.9739745063391033,0.945574162679426
52,47.6357,5.2647,0.35332144821766454,0.3448150374066291,0.951340883148863,0.9174118548799182
74,45.7351,6.1923,0.4926934937531475,0.4584115666085889,0.9526742649995391,0.9671817625458996
70,47.3396,5.5663,0.33774952789575347,0.30413383277995637,0.9469987434352548,0.923058408215661
87,45.5072,1.1594,0.2671099336122504,0.29991706819350333,0.9130414977451828,0.8852843315184513
05,44.2388,5.6896,0.5835846424761892,0.4903728388732234,0.9954045925967564,0.9837625979843225
65,42.6817,-0.0495,0.4068544922890813,0.42731127525477336,0.9574705347492666,0.9001196172248804
