code,nom,weighted_area_km2,score_scena_risque_normalise,score_land_perc
01,Ain,1202.4016680182863,0.9298168967031312,0.9299082381052117
02,Aisne,1153.1945445090505,0.932689129031823,0.9476793990586748
03,Allier,2025.726038387912,0.8817592435641173,0.907411956380157
06,Alpes-Maritimes,107.75982586130878,0.9937114197551017,0.9929669683922784
07,Ardèche,455.3634324451056,0.9734217087295739,0.9724361547361614
08,Ardennes,3256.163908175282,0.8099382718020383,0.791222375651537
10,Aube,2922.922860007825,0.8293896366357104,0.8366053391821485
11,Aude,4270.2972578803865,0.750743049954112,0.7928745129831007
12,Aveyron,4.217968890194841,0.9997551843110485,0.9998444717634563
13,Bouches-du-Rhône,12522.623465167684,0.2690526679704458,0.23044229225943913
14,Calvados,2551.249701750529,0.8510842935211759,0.8720154612388693
16,Charente,2170.823226464724,0.8732898837504255,0.8774624147931882
17,Charente-Maritime,8889.412094555157,0.4811241407864767,0.5752837320242411
18,Cher,337.3115848467135,0.9803124251330689,0.9972447176127947
21,Côte-d'Or,1702.2374500051278,0.9006413548369195,0.9347891819377685
22,Côtes-d'Armor,9.827099872096328,0.9994277779073992,0.9996115405660434
24,Dordogne,4098.942426473331,0.7607450750948928,0.8501858979101489
25,Doubs,1321.1205643824533,0.9228872444933293,0.9152368168782871
26,Drôme,1341.8549459351375,0.9216769733625676,0.9310744857096378
27,Eure,2025.3213852800613,0.8817828632690582,0.893400324946594
29,Finistère,3672.6358526944286,0.7856286983554921,0.8475946563003932
2A,Corse-du-Sud,670.7669180033796,0.9608485524300139,0.9533933846588847
2B,Haute-Corse,1169.5372197333393,0.9317352029176964,0.9305211522292021
30,Gard,8630.384560974557,0.4962436438769563,0.5302773156709454
31,Haute-Garonne,1323.7818899999702,0.9227319022393896,0.9299891754053029
33,Gironde,9516.805318113664,0.44450303857617,0.7377508497171082
34,Hérault,8256.78006319962,0.5180510335418376,0.5929966227691155
35,Ille-et-Vilaine,7227.42848945598,0.5781345470018624,0.663988942655687
37,Indre-et-Loire,1191.311283103711,0.9304642452945053,0.9347580102706772
38,Isère,2982.626653666932,0.825904710997636,0.8723850802666093
40,Landes,1873.8029698705918,0.8906270317571745,0.9325548338979244
42,Loire,2488.263234479391,0.8547608296538416,0.8253405466407684
43,Haute-Loire,528.097221309793,0.9691762189535623,0.9644311307122843
44,Loire-Atlantique,5121.363968258434,0.7010660693648603,0.7697295921944244
46,Lot,1611.8058978001022,0.9059198675654334,0.8960904790951567
47,Lot-et-Garonne,4200.680354709706,0.7548066063185215,0.7372593014727544
48,Lozère,2379.0869230559983,0.8611334787508517,0.8451493715198821
49,Maine-et-Loire,4720.021796914024,0.7244925140987497,0.7780845967596438
50,Manche,1711.4639307282214,0.9001028028078023,0.920277575218619
51,Marne,6337.542575970106,0.6300774143609316,0.7396983782765667
52,Haute-Marne,1364.6270157199374,0.9203477618508471,0.9264975336269698
54,Meurthe-et-Moselle,3366.9912965869025,0.8034692489208166,0.7886052863911774
55,Meuse,1047.6138533318265,0.9388519008595225,0.9434365489385218
56,Morbihan,332.2849499707061,0.980605831090698,0.9836325679446201
57,Moselle,3291.9448787208958,0.8078497274404928,0.8227820536270727
58,Nièvre,759.6815351380343,0.9556585835878101,0.9627412484805433
59,Nord,17132.03744991353,0.0,0.0
60,Oise,3076.7961473395385,0.8204080136738789,0.8242547673925522
62,Pas-de-Calais,9645.741167624965,0.4369770202096587,0.5357714311491808
63,Puy-de-Dôme,1374.604221612185,0.9197653898024515,0.9421702031249896
64,Pyrénées-Atlantiques,4413.1769573820675,0.7424031255131828,0.806973276952323
65,Hautes-Pyrénées,136.4149999999794,0.9920388099442491,0.9898652936102884
67,Bas-Rhin,1352.1823018897176,0.9210741629658761,0.9050798195564317
68,Haut-Rhin,911.7581208190015,0.9467818345588211,0.9362737048200868
69,Rhône,4419.556709406103,0.7420307377630833,0.5425864706163156
70,Haute-Saône,44.091640607103706,0.9974277479400228,0.9972484344803847
71,Saône-et-Loire,929.0781831195798,0.9457708581121825,0.963629406545325
72,Sarthe,910.3669750025282,0.9468630360943519,0.9508730093007185
73,Savoie,1301.3913399999974,0.9240388443441245,0.9300311671398289
74,Haute-Savoie,3269.539069215063,0.8091575602464702,0.7605724248229103
76,Seine-Maritime,4676.57609223624,0.7270284509432374,0.861776915728121
77,Seine-et-Marne,657.3756000015817,0.9616302070715688,0.962646903643924
80,Somme,2376.22449000506,0.8613005596968873,0.8711103316838614
81,Tarn,1408.1509750000528,0.9178072572652956,0.9180424875106699
82,Tarn-et-Garonne,2050.057456059131,0.8803390125192146,0.8149773867628597
83,Var,7575.763564207141,0.557802139993154,0.606297424993586
85,Vendée,3927.247527830575,0.7707669500468116,0.8174849608932494
88,Vosges,2880.054802286892,0.8318918560802422,0.8354216625099048
89,Yonne,1161.2946600032838,0.9322163232279173,0.9475365853946007
90,Territoire de Belfort,1303.7092976185013,0.9239035445677182,0.2806998945749112
95,Val-d'Oise,0.023783161241915554,1.0,1.0
